CODFILIAL,DTMOV,CODPROD,DESCRICAO,QT
1,24/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,6
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,24/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,12
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,7
1,24/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,7
1,24/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,7
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,4
1,24/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,5
1,24/11/2020 00:00,1512,NESTLE IOGURTE VIT DE FRUTA 12X1,
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,4
1,25/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,25/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,11
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,25/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,30
1,25/11/2020 00:00,1939,NESTLE GREGO FRUTAS VERMELHAS 24X90G,1
1,25/11/2020 00:00,1940,NESTLE GREGO TORTA MARACUJA 24X90G,1
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,25/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,62
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,25/11/2020 00:00,2038,NESFIT IOGURTE MORANGO BAUN 12X850G,1
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,25/11/2020 00:00,2040,NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,3
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,25/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,8
1,25/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
