Cod_filial,FILIAL,CODPROD,DATA,DESCRICAO,EMBALAGEM,QTESTGER
1,ATACADO,167,09/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,531
1,ATACADO,167,10/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,374
1,ATACADO,167,11/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,339
1,ATACADO,167,12/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,244
1,ATACADO,167,13/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,679
1,ATACADO,167,14/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,679
1,ATACADO,167,15/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,472
1,ATACADO,167,17/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,285
1,ATACADO,167,18/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,237
1,ATACADO,167,19/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,181
1,ATACADO,167,20/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,39
1,ATACADO,167,21/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,39
1,ATACADO,167,22/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,36
1,ATACADO,167,23/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,167,24/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,167,25/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,167,26/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,167,27/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,666
