Filial;CODPROD;DESCRICAO;DTMOV;QT
1;183;CHAMBINHO PETIT MOR 16X320G;13/03/2021;1
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;13/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;13/03/2021;2
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;13/03/2021;1
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;13/03/2021;3
1;204;NESTLE FLAN CARAMELO 20X200G;13/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;13/03/2021;3
1;288;NINHO IOGURTE MORANGO 24X170G;13/03/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;13/03/2021;6
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;13/03/2021;1
1;450;CHANDELLE CHOCOLATE 24X180G;13/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;13/03/2021;2
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;13/03/2021;1
1;1697;CHANDELLE CHOCOLATE 6X720G;13/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;13/03/2021;1
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;13/03/2021;1
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;13/03/2021;2
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;13/03/2021;1
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;13/03/2021;1
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;13/03/2021;3
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;15/03/2021;5
1;204;NESTLE FLAN CARAMELO 20X200G;15/03/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;15/03/2021;5
1;1511;NESTLE IOGURTE MORANGO 12X900G;15/03/2021;6
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;15/03/2021;5
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;15/03/2021;9
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;15/03/2021;7
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;15/03/2021;23
1;1698;CHAMYTO LEITE FERM 21X6X120G;15/03/2021;26
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;15/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;22
1;180;NINHO IOGURTE POLPA 6X540G;15/03/2021;34
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;15/03/2021;28
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;89
1;1697;CHANDELLE CHOCOLATE 6X720G;15/03/2021;9
1;1698;CHAMYTO LEITE FERM 21X6X120G;15/03/2021;14
1;182;CHAMBINHO PETIT MRG 12X480G;15/03/2021;46
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;113
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;15/03/2021;227
1;183;CHAMBINHO PETIT MOR 16X320G;15/03/2021;2
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;15/03/2021;2
1;288;NINHO IOGURTE MORANGO 24X170G;15/03/2021;4
1;451;CHAMBINHO CHOCOLATE 16X320G;15/03/2021;1
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;15/03/2021;11
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;15/03/2021;7
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;33
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;15/03/2021;6
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;15/03/2021;19
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;15/03/2021;9
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;15/03/2021;9
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;16/03/2021;23
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;16/03/2021;3
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;16/03/2021;2
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;16/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;16/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16/03/2021;3
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;16/03/2021;1
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;16/03/2021;3
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;16/03/2021;4
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;16/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;16/03/2021;1
1;288;NINHO IOGURTE MORANGO 24X170G;16/03/2021;2
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;16/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16/03/2021;9
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;16/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;16/03/2021;4
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16/03/2021;6
1;183;CHAMBINHO PETIT MOR 16X320G;16/03/2021;2
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;16/03/2021;8
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16/03/2021;6
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16/03/2021;7
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;16/03/2021;8
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;16/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16/03/2021;14
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;16/03/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;16/03/2021;27
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;18/03/2021;6
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;18/03/2021;5
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;18/03/2021;5
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;18/03/2021;11
1;1697;CHANDELLE CHOCOLATE 6X720G;18/03/2021;7
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;18/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;18/03/2021;3
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;18/03/2021;5
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;18/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;18/03/2021;6
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;18/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;18/03/2021;5
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;18/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;20/03/2021;1513
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;23/03/2021;2
1;180;NINHO IOGURTE POLPA 6X540G;23/03/2021;3
1;182;CHAMBINHO PETIT MRG 12X480G;23/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;23/03/2021;17
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;23/03/2021;2
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;23/03/2021;1
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;23/03/2021;4
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;23/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;23/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;23/03/2021;6
1;288;NINHO IOGURTE MORANGO 24X170G;23/03/2021;8
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;23/03/2021;4
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;23/03/2021;1
1;450;CHANDELLE CHOCOLATE 24X180G;23/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;23/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;23/03/2021;4
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;23/03/2021;2
1;1509;NESTLE IOGURTE MORANGO 24X170G;23/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;23/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;23/03/2021;2
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;23/03/2021;17
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;23/03/2021;2
1;1941;NESTLE GREGO TRADICIONAL 24X90G;23/03/2021;2
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;23/03/2021;1
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;23/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;23/03/2021;33
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;23/03/2021;6
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;23/03/2021;1
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;23/03/2021;8
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;23/03/2021;1
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;23/03/2021;2
1;180;NINHO IOGURTE POLPA 6X540G;23/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;23/03/2021;11
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;23/03/2021;3
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;23/03/2021;1
1;288;NINHO IOGURTE MORANGO 24X170G;23/03/2021;20
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;23/03/2021;3
1;451;CHAMBINHO CHOCOLATE 16X320G;23/03/2021;8
1;453;CHANDELLE CHOCOLATE 18X360G;23/03/2021;1
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;23/03/2021;6
1;1697;CHANDELLE CHOCOLATE 6X720G;23/03/2021;2
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;23/03/2021;4
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;23/03/2021;1
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;23/03/2021;5
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;23/03/2021;1
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;23/03/2021;1
