CODFILIAL,CODPROD,DESCRICAO,SALDO,NUMPED,DTEMISSAO
1,180,NINHO IOGURTE POLPA 6X540G,0,6604,11/01/2021 00:00
1,182,CHAMBINHO PETIT MRG 12X480G,0,6604,11/01/2021 00:00
1,183,CHAMBINHO PETIT MOR 16X320G,0,6604,11/01/2021 00:00
1,194,NESTLE GREGO IOG FRUTAS VERM 12X400G,0,6604,11/01/2021 00:00
1,195,IOGURTE GREGO NESTLE TRADICIONAL 12X400G,0,6604,11/01/2021 00:00
1,198,NESTLE NATURAL CENOURA+LARANJA 28X170G,0,6604,11/01/2021 00:00
1,199,IOGURTE NESTLE NATURAL 28X170G,0,6604,11/01/2021 00:00
1,200,NESTLE IOG NATURAL DESNATADO 28X160G,0,6604,11/01/2021 00:00
1,201,IOGURTE NESTLE NATURAL MEL 28X170G,0,6604,11/01/2021 00:00
1,204,NESTLE FLAN CARAMELO 20X200G,0,6604,11/01/2021 00:00
1,206,NESTLE GREGO IOG LIGHT 3 SAB 6X540G,0,6604,11/01/2021 00:00
1,212,NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,0,6604,11/01/2021 00:00
1,213,REQUEIJAO CREMOSO NESTLE 15X200G,0,6604,11/01/2021 00:00
1,214,REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,0,6604,11/01/2021 00:00
1,249,NESTLE GREGO LIGHT MARACUJA 12X360G,0,6604,11/01/2021 00:00
1,254,NINHO FRUTI MORANGO 8X250G,0,6604,11/01/2021 00:00
1,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,0,6604,11/01/2021 00:00
1,288,NINHO IOGURTE MORANGO 24X170G,0,6604,11/01/2021 00:00
1,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,0,6604,11/01/2021 00:00
1,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,0,6604,11/01/2021 00:00
1,449,CHANDELLE CHANTILLY CARAMELO 24X200G,0,6604,11/01/2021 00:00
1,450,CHANDELLE CHOCOLATE 24X180G,0,6604,11/01/2021 00:00
1,451,CHAMBINHO CHOCOLATE 16X320G,0,6604,11/01/2021 00:00
1,453,CHANDELLE CHOCOLATE 18X360G,0,6604,11/01/2021 00:00
1,759,CHAMYTO LEITE FERMENTADO 21X6X75G,0,6604,11/01/2021 00:00
1,1505,NESTLE IOG VIT DE FRUTA 24X170G,0,6604,11/01/2021 00:00
1,1506,NESTLE IOG VIT DE FRUTA 12X900G,0,6604,11/01/2021 00:00
1,1508,NESTLE GREGO IOG LT MORANGO 12X360G,0,6604,11/01/2021 00:00
